id,use_case,wer,cer,substitutions,insertions,deletions,hits,gold_token_count,asr_token_count,length_ratio,insertion_rate,repetition_ratio,short_call_hallucination,repetition_burst,repetition_run,hallucination_candidate,gold_polarity,asr_polarity,gold_quantities,missing_quantities,quantity_preserved,entity_mentions,entity_failures,entity_script_variants,proper_noun_failure_flag
2f5a58b5-3467-45cf-a57a-70c4ae0165ae,admissions / lead qualification,0.5625,0.384297520661157,11,15,1,36,48,62,1.29,0.403,0.0,False,False,,False,affirmative,affirmative,eight,,True,2,0,1,False
ebbb8d49-de7b-4d30-a845-ef68c74a980a,b2b sales outreach,0.4,0.42105263157894735,3,3,0,12,15,18,1.2,0.333,0.0,False,False,,False,"affirmative,negative","affirmative,negative",bottles,,True,1,0,1,False
5a7d6b58-8e53-4c52-8f96-0166236e8e0a,verification call,0.863013698630137,0.7920792079207921,18,1,107,21,146,40,0.27,0.325,0.0,False,False,,False,"affirmative,negative","affirmative,negative","चार,चार","चार,चार",False,3,3,0,True
c5586005-1416-4104-bd79-341d76bc6e8c,b2b sales outreach,0.0,0.0,0,0,0,2,2,2,1.0,0.0,0.0,False,False,,False,,,,,True,0,0,0,False
7d743b92-bd32-4e39-afd4-a9da3b3c52bd,ecommerce support,0.5,0.46153846153846156,0,1,0,2,2,3,1.5,0.333,0.0,True,False,,True,,,,,True,0,0,0,False
e6a45e58-9fec-4691-8f2d-3b2ba5ad45d8,ecommerce support,1.4,1.95,3,4,0,2,5,9,1.8,0.667,0.667,True,True,नीतिया,True,"affirmative,negative","affirmative,negative",,,True,1,1,0,True
685ebfb1-06f5-4043-8443-b3390789e333,ecommerce support,1.3333333333333333,1.0833333333333333,2,2,0,1,3,5,1.67,0.8,0.0,True,False,,True,"affirmative,negative","affirmative,negative",,,True,0,0,0,False
3c11aa34-2123-4df6-a567-2c23e7272953,ecommerce support,0.8,0.6896551724137931,4,0,0,1,5,5,1.0,0.8,0.8,False,True,तेलुगु,True,,,,,True,1,0,0,False
a2632186-df70-44d4-a573-c7fdfa9024db,b2b sales outreach,0.3333333333333333,0.2857142857142857,1,0,0,2,3,3,1.0,0.333,0.0,False,False,,False,"affirmative,negative",negative,,,True,0,0,0,False
20579a98-2cf2-4e8e-9df2-4e06b5d25d86,b2b sales outreach,0.3333333333333333,0.35294117647058826,1,0,0,2,3,3,1.0,0.333,0.0,False,False,,False,negative,negative,,,True,0,0,0,False
31fb72e8-80a7-47d2-a608-eadb0249953c,ecommerce support,1.8333333333333333,1.5172413793103448,0,11,0,6,6,17,2.83,0.647,0.0,True,False,,True,affirmative,affirmative,,,True,0,0,0,False
607cbd35-a1f3-4560-9dc7-0858e611b87f,b2b sales outreach,1.0,1.0434782608695652,4,2,0,2,6,8,1.33,0.75,0.0,False,False,,False,negative,negative,,,True,0,0,0,False
88d0e749-daf7-4f1f-90b3-a83b1e40cc5e,b2b sales outreach,0.8,0.6086956521739131,1,3,0,4,5,8,1.6,0.5,0.0,True,False,,True,,,,,True,0,0,0,False
130d7762-b4ee-48be-bc0f-8406a8c2ea3a,ecommerce support,0.2857142857142857,0.25,1,0,1,5,7,6,0.86,0.167,0.0,False,False,,False,affirmative,affirmative,,,True,0,0,0,False
1dfaac3f-15d2-4061-867e-87a74f461b8c,b2b sales outreach,0.75,0.3888888888888889,1,1,1,2,4,4,1.0,0.5,0.0,False,False,,False,affirmative,"affirmative,negative",,,True,0,0,0,False
0de04f5e-bbe8-40f8-a156-a2a8fc85ebee,ecommerce support,0.3142857142857143,0.2568306010928962,2,2,7,26,35,30,0.86,0.067,0.0,False,False,,False,"affirmative,negative",affirmative,,,True,0,0,0,False
47629b83-b3af-4492-bc4a-5a6aa0a2aa8e,b2b sales outreach,0.46226415094339623,0.3551587301587302,14,31,4,88,106,133,1.25,0.331,0.0,False,False,,False,affirmative,affirmative,,,True,2,1,0,True
6d43f318-0e7b-4421-af94-ffc769cd99c3,ecommerce support,0.6637931034482759,0.5890151515151515,9,7,61,46,116,62,0.53,0.194,0.0,False,False,,False,"affirmative,negative","affirmative,negative","forty six,forty six,forty six,forty six",,True,0,0,0,False
f87b3e49-f5ad-4662-bfd0-16a5a833a146,ecommerce support,0.47058823529411764,0.3227848101265823,21,8,3,44,68,73,1.07,0.37,0.0,False,False,,False,"affirmative,negative","affirmative,negative",,,True,1,0,1,False
9485d29f-f572-4556-8cd3-c9bc0c53be91,ecommerce support,0.5454545454545454,0.5517241379310345,1,5,0,10,11,16,1.45,0.375,0.188,False,True,yes,True,"affirmative,negative","affirmative,negative",,,True,0,0,0,False
